part,qty,cost,link
xiaoesp32c3,1,146,https://robocraze.com/products/esp32-c3-mini-development-board-unsoldered?variant=48465411506400&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=ppc&utm_campaign=23451097817&utm_content=_&utm_term=&campaignid=23451097817&adgroupid=&campaign=23451097817&gad_source=1&gad_campaignid=23455584892&gbraid=0AAAAADgHQvZU95dYbdlWZyANBL5_arS8F&gclid=Cj0KCQjwrZTRBhDSARIsAHidYff6ch48CD0Z7HwF_6gZ9Q6E3G9h5SVj6_ToFBsSKG1ZewvjCkxG3-8aAjGWEALw_wcB
mpu6040,1,154,https://robocraze.com/products/mpu-6050-triple-axis-accelerometer-gyroscope-module?variant=40192322011289&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoor9rSmDK4mFKNjfNXZVB3-fqwY0CQvUEDwBXeaoHAe35eVkJkgPrA
right angle tactile pushbutton,1,10,https://probots.co.in/mini-push-switch-right-angled.html?gad_source=1&gad_campaignid=16602594661&gbraid=0AAAAADyryWQu-9K7bEsh_y-LySTJVRruC&gclid=Cj0KCQjwrZTRBhDSARIsAHidYffF14750iq3lY_jpikgiNRcYIJkTea_XVVv6zDoQYJ7yV8IrQ4Z_9UaAszbEALw_wcB
tp4056 battery management,1,36,https://evelta.com/tp4056x-42-esop8-lithium-ion-battery-management-1a-ic-sop-8-ep/?sku=129-TP4056X-42-ESOP8&utm_source=google&utm_campaign=20308067004&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20317564702&gbraid=0AAAAADwtsXmcl1bkkDTTdHkOb2la99bR3&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfePHqtHWaQIKBL2l1q4R8HMKx21yos_KgcmNiU0JxshqyZVAYvrmvwaArX8EALw_wcB
250mah 3.7v lion,1,126,https://probots.co.in/3-7v-250mah-lipo-battery-502030-open-ended.html?gad_source=1&gad_campaignid=15283483193&gbraid=0AAAAADyryWQdK40nbYxI3XrduH_wIaD2a&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfcroL3ylDDOpaKl2Ey4KjrTtWw3nN93QmKtUxibr_FZG44T1v3RPywaAnZkEALw_wcB
capacitor 470uf,1,5,https://quartzcomponents.com/products/470-%C2%B5f-25v-radial-electrolytic-capacitor-through-hole?variant=45660873916650&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20251762959&gbraid=0AAAAACPPFdMFsI9lYLuIE9pGW3AKIv3YP&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfezQZhYwX5J89EOGClgSR8ha68s51W92gU1VqldY3-OyIfJ-wxe_iIaAnyQEALw_wcB
schtottky diode,4,3,https://quartzcomponents.com/products/1n5819-shottky-barrier-diode?variant=31898114556039&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdOwmaDpDFS5eSqrOVnjaZzT4&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfdbGoESJEgiQQvK1_IQSKnNijZ7YhI1AHjVrSW0mq2uM86M_-4T80YaAu43EALw_wcB
capacitor 0.1uf,2,20,https://quartzcomponents.com/products/10000-pf-0-1uf-ceramic-capacitor?variant=31898110197895&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gbraid=0AAAAACPPFdOwmaDpDFS5eSqrOVnjaZzT4&gclid=Cj0KCQjwrZTRBhDSARIsAHidYffmsXPaywLyM9NsCuYe29IaoNJbo6UJCBeqR09TKJhGv-JK54RV-fUaAnsQEALw_wcB
resistor 4.8,1,6,https://quartzcomponents.com/products/4-7k-ohm-1-4-watt-resistor?variant=31898015236231&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20251762959&gbraid=0AAAAACPPFdMFsI9lYLuIE9pGW3AKIv3YP&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfdIFjef-jQ3l1owCBHpeOg3oYExWQIX3civTsNschULq9rqR9uoZlMaAsjQEALw_wcB
"oled 1.3"" 128x64",1,270,https://robocraze.com/products/1-3in-oled-display?variant=40192586842265&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gbraid=0AAAAADgHQvaZq1YL01wmS76pcYMSbyrLp&gclid=Cj0KCQjwrZTRBhDSARIsAHidYfd6rmur_On7RqjGK7IkjAomptfhbsEyjAzsQrouTDgp_4gzEQQYkS0aAsQHEALw_wcB
pcb,1,1022.6115,
,,1798.6115,
